date,publication_date,BW,BY,BE,BB,HB,HH,HE,MV,NI,NW,RP,SL,SN,ST,SH,TH,DE
2021-01-28,2021-01-29 10:00,0.4414527988826343,0.708699915282112,0.7360693894602821,0.33157631985179387,0.5637094430139665,0.4352950029043125,0.6013918397984759,0.8946371517867248,0.4089642624456941,0.44937876454521847,0.26324512329676597,0.7150768021060162,0.2960237192258982,0.7752022752145771,0.25952441874760873,0.3464927453081451,0.5009768872548056
2021-01-29,2021-01-30 10:00,0.4937392312380984,0.732814684210434,0.8077959586220541,0.506444960194584,0.6058408519058958,0.4883467505533893,0.6353926794824494,0.930330605955459,0.5144985843689107,0.4700226291301589,0.3668626247373228,0.8024221618077855,0.3416281697487531,0.8730252025030276,0.3370098144724123,0.4198974583969648,0.5551512070737052
2021-01-31,2021-02-01 10:00,0.5818622293947404,0.8803224018888912,0.8945654860578756,0.5138996777420771,0.7693753101135933,0.5816745188666631,0.7336579687281333,0.9348078336560668,0.5599599079664652,0.5527095253354266,0.4305671140718283,0.8953406013049113,0.400837825220268,0.9194990664220866,0.44397409852629666,0.4537404998082853,0.640354768869001
2021-02-01,2021-02-02 10:00,0.628878578544149,1.000378140910557,0.9443816594726625,0.5759562360496658,0.8687584593116285,0.6612521403402782,0.7847228406763272,1.03660258012683,0.6627170108917024,0.6602359217619262,0.572705313242644,0.9838005769657518,0.4862264490586991,0.997638945462465,0.5028285613234919,0.5360044024078245,0.7296020158834945
2021-02-02,2021-02-03 10:00,0.6850297385840539,1.1027573352517464,1.0018828224404965,0.6922577603411406,0.9694628025167278,0.7557708662538375,0.8212840803552117,1.1145187788610182,0.7643982542051099,0.7527014906653237,0.7174571551890702,1.0785429334868126,0.5890267882556138,1.093958306565299,0.5909552847278351,0.6167683364129564,0.8172127908244442
2021-02-03,2021-02-04 10:00,0.7416313330860148,1.2238645239138888,1.0721105461220644,0.823587677986338,1.0797091024395113,0.8679374184261712,0.8585609597842266,1.1886417707933026,0.8534944420592053,0.8347977661834107,0.8795274338449153,1.1735892761785292,0.6966650793927559,1.1982511247130694,0.7163094360337395,0.7347502411668255,0.9094179520938371
2021-02-04,2021-02-05 10:00,0.8041246103516687,1.3187235675655824,1.132391386162277,0.9549572483844477,1.2049289344423535,0.9607779768120556,0.9065406292540807,1.2722166878713146,0.9425155699403824,0.9465420858193031,1.050562262955424,1.267723660358278,0.7921225372184626,1.2793070109013105,0.8145264798591351,0.8568101855367404,1.0032836335201472
2021-02-05,2021-02-06 10:00,0.8662575400476775,1.403677650835975,1.2013382782516704,1.0955262574581872,1.2968253176003595,1.0705626137838185,0.9738743781885727,1.3130092069212966,1.0321121576139336,1.008367813601894,1.2120463039793565,1.3724975605109804,0.8825946943138839,1.3291525080850854,0.9615076660606734,0.9626517194796234,1.0860968158281503
2021-02-07,2021-02-08 11:00,0.9607046380515862,1.4986357440914815,1.4447507842368328,1.1099202067653147,1.3953276707936852,1.2383252321149296,1.011548835256549,1.3130092069212966,1.0701550538880567,1.1103836075791345,1.325825257706399,1.475346214916196,1.033823669176426,1.3440059194945102,1.131355653489443,1.0481030553422788,1.1806574868639448
2021-02-08,2021-02-09 10:00,1.019765604716373,1.5465833715372734,1.5120625721660035,1.2056816050482713,1.4663785485069039,1.3147089218423247,1.041430770600883,1.4616282930942495,1.1140651380452982,1.1103836075791345,1.4802011674433908,1.5367514213886697,1.1097574123194887,1.390206407743457,1.2421425503990842,1.0977895150320292,1.2320205857365214
2021-02-09,2021-02-10 10:00,1.0787635105564721,1.589388038785082,1.5731882160223314,1.326820765195034,1.5644405036978752,1.4356993871440458,1.0942608872660653,1.6255445739109455,1.153809393705571,1.2795239998437642,1.68250200358924,1.5529640171569794,1.2077934739712046,1.4520348718004794,1.3695629789243169,1.2160526638973497,1.3280602138997657
2021-02-10,2021-02-11 10:00,1.1316895598480559,1.6240477809193434,1.6387286411112603,1.585475672441297,1.670723221599467,1.5494899724076778,1.14429205735296,1.7966119823050013,1.1925403397314456,1.4148820031803253,1.8671668576417173,1.5721151459082954,1.2852498212781969,1.5360067651365832,1.4800399342510588,1.3474405379637364,1.4173038537017533
